大类,指令,说明,,,,,,
Linux 系统/用户和组管理,useradd john,创建用户,,,,,,
Linux 系统/用户和组管理,useradd -m -s /bin/bash john,创建家目录和 shell,,,,,,
Linux 系统/用户和组管理,useradd -g users -G wheel john,指定主组和附加组,,,,,,
Linux 系统/用户和组管理,userdel john,删除用户,,,,,,
Linux 系统/用户和组管理,userdel -r john,删除用户和家目录,,,,,,
Linux 系统/用户和组管理,usermod -s /bin/zsh john,修改 shell,,,,,,
Linux 系统/用户和组管理,usermod -L john,锁定账户,,,,,,
Linux 系统/用户和组管理,usermod -U john,解锁账户,,,,,,
Linux 系统/用户和组管理,usermod -e 2026-12-31 john,设置过期时间,,,,,,
Linux 系统/用户和组管理,passwd john,设置密码,,,,,,
Linux 系统/用户和组管理,passwd -d john,删除密码,,,,,,
Linux 系统/用户和组管理,passwd -l john,锁定密码,,,,,,
Linux 系统/用户和组管理,passwd -S john,查看密码状态,,,,,,
Linux 系统/用户和组管理,groupadd developers,创建组,,,,,,
Linux 系统/用户和组管理,groupadd -g 1001 developers,指定 GID,,,,,,
Linux 系统/用户和组管理,groupdel developers,删除组,,,,,,
Linux 系统/用户和组管理,groupmod -g 1002 developers,修改 GID,,,,,,
Linux 系统/用户和组管理,groupmod -n devs developers,修改组名,,,,,,
Linux 系统/用户和组管理,usermod -aG developers john,添加到附加组,,,,,,
Linux 系统/用户和组管理,gpasswd -a john developers,另一种方式,,,,,,
Linux 系统/用户和组管理,gpasswd -d john developers,从组删除,,,,,,
Linux 系统/用户和组管理,id john,用户 ID 和组,,,,,,
Linux 系统/用户和组管理,finger john,详细信息,,,,,,
Linux 系统/用户和组管理,getent passwd john,passwd 条目,,,,,,
Linux 系统/用户和组管理,getent group developers,组信息,,,,,,
Linux 系统/用户和组管理,groups john,用户所属组,,,,,,
Linux 系统/用户和组管理,su \john,切换用户,,,,,,
Linux 系统/用户和组管理,su -c command" john",以用户身份执行命令,,,,,,
Linux 系统/用户和组管理,visudo,编辑 sudoers,,,,,,
Linux 系统/用户和组管理,sudo -l,查看 sudo 权限,,,,,,
Linux 系统/用户和组管理,sudo command,以 root 身份执行,,,,,,
Linux 系统/进程管理,ps aux,BSD 风格,,,,,,
Linux 系统/进程管理,ps -ef,System V 风格,,,,,,
Linux 系统/进程管理,ps aux --sort=-%cpu,按 CPU 排序,,,,,,
Linux 系统/进程管理,ps aux --sort=-%mem,按内存排序,,,,,,
Linux 系统/进程管理,top,top 工具,,,,,,
Linux 系统/进程管理,htop,增强版 top,,,,,,
Linux 系统/进程管理,atop,高级 top,,,,,,
Linux 系统/进程管理,pstree,进程树,,,,,,
Linux 系统/进程管理,pstree -p,显示 PID,,,,,,
Linux 系统/进程管理,pstree -u,显示用户,,,,,,
Linux 系统/进程管理,pgrep nginx,按名称查找,,,,,,
Linux 系统/进程管理,pidof nginx,获取 PID,,,,,,
Linux 系统/进程管理,ps aux | grep nginx,grep 查找,,,,,,
Linux 系统/进程管理,kill PID,正常终止,,,,,,
Linux 系统/进程管理,kill -9 PID,强制终止,,,,,,
Linux 系统/进程管理,kill -15 PID,优雅终止,,,,,,
Linux 系统/进程管理,killall nginx,按名称终止,,,,,,
Linux 系统/进程管理,pkill -f pattern,按模式终止,,,,,,
Linux 系统/进程管理,nice -n 10 command,启动时设置 nice,,,,,,
Linux 系统/进程管理,renice 10 -p PID,修改已运行进程,,,,,,
Linux 系统/进程管理,command &,后台运行,,,,,,
Linux 系统/进程管理,jobs,查看作业,,,,,,
Linux 系统/进程管理,fg %1,前台恢复,,,,,,
Linux 系统/进程管理,bg %1,后台恢复,,,,,,
Linux 系统/进程管理,disown %1,移除作业,,,,,,
Linux 系统/进程管理,at 10:00,一次性任务,,,,,,
Linux 系统/进程管理,crontab -e,编辑 cron,,,,,,
Linux 系统/进程管理,crontab -l,列出 cron,,,,,,
Linux 系统/进程管理,systemctl start cron,启动 cron,,,,,,
Linux 系统/进程管理,systemctl start service,启动服务,,,,,,
Linux 系统/进程管理,systemctl stop service,停止服务,,,,,,
Linux 系统/进程管理,systemctl restart service,重启服务,,,,,,
Linux 系统/进程管理,systemctl status service,查看状态,,,,,,
Linux 系统/进程管理,systemctl enable service,开机启动,,,,,,
Linux 系统/进程管理,systemctl disable service,禁用开机启动,,,,,,
Linux 系统/进程管理,systemctl list-units,所有单元,,,,,,
Linux 系统/进程管理,systemctl list-unit-files,所有单元文件,,,,,,
Linux 系统/进程管理,systemctl list-dependencies,依赖关系,,,,,,
Linux 系统/进程管理,journalctl -u service,服务日志,,,,,,
Linux 系统/进程管理,journalctl -f,实时日志,,,,,,
Linux 系统/进程管理,journalctl --since 2026-01-01"",时间过滤,,,,,,
Linux 系统/进程管理,journalctl -xe,详细日志,,,,,,
Linux 系统/磁盘管理,df -h,人类可读,,,,,,
Linux 系统/磁盘管理,df -i,inode 使用,,,,,,
Linux 系统/磁盘管理,df -T,文件系统类型,,,,,,
Linux 系统/磁盘管理,du -sh /var/log,目录总大小,,,,,,
Linux 系统/磁盘管理,du -ah /var/log,所有文件大小,,,,,,
Linux 系统/磁盘管理,du --max-depth=1 /home,深度 1,,,,,,
Linux 系统/磁盘管理,find / -xdev -size +100M -exec ls -lh {} \;,大于 100MB,,,,,,
Linux 系统/磁盘管理,find / -xdev -size +1G,大于 1GB,,,,,,
Linux 系统/磁盘管理,fdisk -l,查看分区,,,,,,
Linux 系统/磁盘管理,fdisk /dev/sda,分区 sda,,,,,,
Linux 系统/磁盘管理,parted /dev/sda print,parted 工具,,,,,,
Linux 系统/磁盘管理,mkfs.ext4 /dev/sda1,ext4 格式,,,,,,
Linux 系统/磁盘管理,mkfs.xfs /dev/sda1,xfs 格式,,,,,,
Linux 系统/磁盘管理,mkfs.vfat /dev/sda1,vfat 格式,,,,,,
Linux 系统/磁盘管理,mount /dev/sda1 /mnt,挂载,,,,,,
Linux 系统/磁盘管理,"mount -o remount,rw /mnt",重新挂载为读写,,,,,,
Linux 系统/磁盘管理,umount /mnt,卸载,,,,,,
Linux 系统/磁盘管理,umount -l /mnt,懒卸载,,,,,,
Linux 系统/磁盘管理,vi /etc/fstab,编辑 fstab,,,,,,
Linux 系统/磁盘管理,mount -a,挂载所有 fstab,,,,,,
Linux 系统/磁盘管理,pvcreate /dev/sda1,创建 PV,,,,,,
Linux 系统/磁盘管理,vgcreate vg0 /dev/sda1,创建 VG,,,,,,
Linux 系统/磁盘管理,lvcreate -L 10G -n lv0 vg0,创建 LV,,,,,,
Linux 系统/磁盘管理,lvextend -L +5G /dev/vg0/lv0,扩展 LV,,,,,,
Linux 系统/磁盘管理,resize2fs /dev/vg0/lv0,扩展文件系统,,,,,,
Linux 系统/磁盘管理,lvreduce -L -2G /dev/vg0/lv0,缩减 LV,,,,,,
Linux 系统/磁盘管理,resize2fs /dev/vg0/lv0,缩减文件系统,,,,,,
Linux 系统/磁盘管理,mdadm --create /dev/md0 --level=1 --raid-devices=2 /dev/sda /dev/sdb,RAID1,,,,,,
Linux 系统/磁盘管理,mdadm --detail /dev/md0,RAID 详情,,,,,,
Linux 系统/网络配置,ip addr show,IP 地址,,,,,,
Linux 系统/网络配置,ip link show,链路状态,,,,,,
Linux 系统/网络配置,ifconfig,旧式命令,,,,,,
Linux 系统/网络配置,ip addr add 192.168.1.10/24 dev eth0,添加 IP,,,,,,
Linux 系统/网络配置,ip addr del 192.168.1.10/24 dev eth0,删除 IP,,,,,,
Linux 系统/网络配置,ip link set eth0 up,启用,,,,,,
Linux 系统/网络配置,ip link set eth0 down,禁用,,,,,,
Linux 系统/网络配置,ip route show,显示路由,,,,,,
Linux 系统/网络配置,ip route add default via 192.168.1.1,默认网关,,,,,,
Linux 系统/网络配置,ip route del 10.0.0.0/8,删除路由,,,,,,
Linux 系统/网络配置,route -n,旧式路由,,,,,,
Linux 系统/网络配置,cat /etc/resolv.conf,查看 DNS,,,,,,
Linux 系统/网络配置,echo nameserver 8.8.8.8" >> /etc/resolv.conf",添加 DNS,,,,,,
Linux 系统/网络配置,hostname,查看主机名,,,,,,
Linux 系统/网络配置,hostnamectl set-hostname server1,设置主机名,,,,,,
Linux 系统/网络配置,cat /etc/hostname,永久主机名,,,,,,
Linux 系统/网络配置,ping 192.168.1.1,Ping 测试,,,,,,
Linux 系统/网络配置,ping -c 4 192.168.1.1,4 次 ping,,,,,,
Linux 系统/网络配置,traceroute www.google.com,路由跟踪,,,,,,
Linux 系统/网络配置,tracepath www.google.com,无需 root,,,,,,
Linux 系统/网络配置,netstat -tulpn,监听端口,,,,,,
Linux 系统/网络配置,ss -tulpn,更快的替代,,,,,,
Linux 系统/网络配置,netstat -an | grep ESTABLISHED,已建立连接,,,,,,
Linux 系统/网络配置,ss -s,连接统计,,,,,,
Linux 系统/网络配置,ip neigh show,ARP 表,,,,,,
Linux 系统/网络配置,arp -a,旧式 ARP,,,,,,
Linux 系统/网络配置,iptables -L,查看规则,,,,,,
Linux 系统/网络配置,iptables -A INPUT -p tcp --dport 22 -j ACCEPT,允许 SSH,,,,,,
Linux 系统/网络配置,iptables -I INPUT 1 -p tcp --dport 80 -j ACCEPT,插入规则,,,,,,
Linux 系统/网络配置,iptables -D INPUT 1,删除规则,,,,,,
Linux 系统/网络配置,iptables-save > /etc/iptables/rules.v4,保存规则,,,,,,
Linux 系统/网络配置,firewall-cmd --list-all,查看所有,,,,,,
Linux 系统/网络配置,firewall-cmd --add-service=http --permanent,添加服务,,,,,,
Linux 系统/网络配置,firewall-cmd --reload,重载规则,,,,,,
Linux 系统/网络配置,netstat -s,协议统计,,,,,,
Linux 系统/网络配置,ip -s link,接口统计,,,,,,
Linux 系统/网络配置,iftop,实时带宽,,,,,,
Linux 系统/网络配置,nethogs,按进程监控,,,,,,
Linux 系统/网络配置,vnstat,流量统计,,,,,,
Linux 系统/系统信息,uname -a,所有信息,,,,,,
Linux 系统/系统信息,uname -r,内核版本,,,,,,
Linux 系统/系统信息,uname -m,架构,,,,,,
Linux 系统/系统信息,cat /etc/os-release,发行版,,,,,,
Linux 系统/系统信息,lsb_release -a,LSB 信息,,,,,,
Linux 系统/系统信息,cat /etc/redhat-release,RedHat 系,,,,,,
Linux 系统/系统信息,cat /etc/debian_version,Debian 版本,,,,,,
Linux 系统/系统信息,cat /proc/version,内核版本,,,,,,
Linux 系统/系统信息,rpm -qa | grep kernel,已安装内核,,,,,,
Linux 系统/系统信息,cat /proc/cpuinfo,CPU 详情,,,,,,
Linux 系统/系统信息,lscpu,CPU 摘要,,,,,,
Linux 系统/系统信息,nproc,CPU 核心数,,,,,,
Linux 系统/系统信息,cat /proc/meminfo,内存详情,,,,,,
Linux 系统/系统信息,free -h,内存使用,,,,,,
Linux 系统/系统信息,vmstat,虚拟内存统计,,,,,,
Linux 系统/系统信息,lspci,PCI 设备,,,,,,
Linux 系统/系统信息,lsusb,USB 设备,,,,,,
Linux 系统/系统信息,lsscsi,SCSI 设备,,,,,,
Linux 系统/系统信息,dmidecode,DMI 信息,,,,,,
Linux 系统/系统信息,lsblk,块设备列表,,,,,,
Linux 系统/系统信息,blkid,块设备 UUID,,,,,,
Linux 系统/系统信息,runlevel,当前运行级别,,,,,,
Linux 系统/系统信息,systemctl get-default,默认目标,,,,,,
Linux 系统/系统信息,uptime,运行时间和负载,,,,,,
Linux 系统/系统信息,who -b,最后启动时间,,,,,,
Linux 系统/系统信息,last reboot,重启历史,,,,,,
Linux 系统/系统信息,uptime,系统负载,,,,,,
Linux 系统/系统信息,w,用户和负载,,,,,,
Linux 系统/性能监控,top,top 工具,,,,,,
Linux 系统/性能监控,mpstat 1 5,CPU 统计,,,,,,
Linux 系统/性能监控,sar -u 1 5,CPU 使用率,,,,,,
Linux 系统/性能监控,free -h,内存使用,,,,,,
Linux 系统/性能监控,cat /proc/meminfo,详细信息,,,,,,
Linux 系统/性能监控,iostat -x 1 5,I/O 统计,,,,,,
Linux 系统/性能监控,iotop,按进程 I/O,,,,,,
Linux 系统/性能监控,ps aux --sort=-%cpu,CPU 排序,,,,,,
Linux 系统/性能监控,ps aux --sort=-%mem,内存排序,,,,,,
Linux 系统/性能监控,iftop,实时带宽,,,,,,
Linux 系统/性能监控,nload,网络负载,,,,,,
Linux 系统/性能监控,sensors,传感器信息,,,,,,
Linux 系统/性能监控,watch -n 1 sensors,实时监控,,,,,,
Linux 系统/性能监控,upower -i /org/freedesktop/UPower/devices/battery_BAT0,笔记本电池,,,,,,
Linux 系统/性能监控,swapon --show,交换空间,,,,,,
Linux 系统/性能监控,free -h,包含交换,,,,,,
Linux 系统/性能监控,strace -p PID,追踪进程,,,,,,
Linux 系统/性能监控,strace command,追踪命令,,,,,,
Linux 系统/性能监控,lsof -i :80,查看 80 端口,,,,,,
Linux 系统/性能监控,lsof -u john,用户打开的文件,,,,,,
Linux 系统/性能监控,lsof -p PID,进程打开的文件,,,,,,
Linux 系统/软件包管理,rpm -qa,已安装包,,,,,,
Linux 系统/软件包管理,rpm -ivh package.rpm,安装包,,,,,,
Linux 系统/软件包管理,rpm -e package,删除包,,,,,,
Linux 系统/软件包管理,rpm -ql package,包文件列表,,,,,,
Linux 系统/软件包管理,rpm -qf /path/file,文件归属包,,,,,,
Linux 系统/软件包管理,yum install package,安装包,,,,,,
Linux 系统/软件包管理,yum remove package,删除包,,,,,,
Linux 系统/软件包管理,yum update package,更新包,,,,,,
Linux 系统/软件包管理,yum search keyword,搜索包,,,,,,
Linux 系统/软件包管理,yum info package,包信息,,,,,,
Linux 系统/软件包管理,yum list installed,已安装包,,,,,,
Linux 系统/软件包管理,yum clean all,清理缓存,,,,,,
Linux 系统/软件包管理,dnf install package,安装包,,,,,,
Linux 系统/软件包管理,dnf remove package,删除包,,,,,,
Linux 系统/软件包管理,dnf update,更新所有,,,,,,
Linux 系统/软件包管理,dnf autoremove,自动删除依赖,,,,,,
Linux 系统/软件包管理,apt update,更新源,,,,,,
Linux 系统/软件包管理,apt upgrade,更新包,,,,,,
Linux 系统/软件包管理,apt install package,安装包,,,,,,
Linux 系统/软件包管理,apt remove package,删除包,,,,,,
Linux 系统/软件包管理,apt search keyword,搜索包,,,,,,
Linux 系统/软件包管理,apt show package,包信息,,,,,,
Linux 系统/软件包管理,apt autoremove,自动清理,,,,,,
Linux 系统/软件包管理,dpkg -i package.deb,安装包,,,,,,
Linux 系统/软件包管理,dpkg -r package,删除包,,,,,,
Linux 系统/软件包管理,dpkg -l,已安装包,,,,,,
Linux 系统/软件包管理,dpkg -L package,文件列表,,,,,,
Linux 系统/软件包管理,dpkg -S file,文件归属,,,,,,
Linux 系统/软件包管理,snap install package,安装 snap,,,,,,
Linux 系统/软件包管理,snap remove package,删除 snap,,,,,,
Linux 系统/软件包管理,snap list,已安装 snap,,,,,,
Linux 系统/软件包管理,snap refresh,更新 snap,,,,,,
Linux 系统/软件包管理,flatpak install flathub package,安装 flatpak,,,,,,
Linux 系统/软件包管理,flatpak uninstall package,删除 flatpak,,,,,,
Linux 系统/软件包管理,flatpak list,已安装 flatpak,,,,,,
Linux 系统/权限管理,ls -l,详细权限,,,,,,
Linux 系统/权限管理,stat file,详细状态,,,,,,
Linux 系统/权限管理,chmod 755 file,数字方式,,,,,,
Linux 系统/权限管理,chmod u+x file,符号方式,,,,,,
Linux 系统/权限管理,chmod -R 755 dir,递归修改,,,,,,
Linux 系统/权限管理,chown user file,修改所有者,,,,,,
Linux 系统/权限管理,chown user:group file,修改所有者和组,,,,,,
Linux 系统/权限管理,chown -R user:group dir,递归修改,,,,,,
Linux 系统/权限管理,chgrp group file,修改组,,,,,,
Linux 系统/权限管理,chmod u+s file,设置 SUID,,,,,,
Linux 系统/权限管理,chmod g+s file,设置 SGID,,,,,,
Linux 系统/权限管理,chmod +t dir,设置粘滞位,,,,,,
Linux 系统/权限管理,setfacl -m u:user:rx file,设置 ACL,,,,,,
Linux 系统/权限管理,getfacl file,查看 ACL,,,,,,
Linux 系统/权限管理,umask,查看 umask,,,,,,
Linux 系统/权限管理,umask 022,设置 umask,,,,,,
Linux 系统/计划任务,crontab -e,编辑 cron,,,,,,
Linux 系统/计划任务,crontab -l,列出 cron,,,,,,
Linux 系统/计划任务,crontab -r,删除 cron,,,,,,
Linux 系统/计划任务,at now + 1 hour,1 小时后执行,,,,,,
Linux 系统/计划任务,atq,查看队列,,,,,,
Linux 系统/计划任务,atrm 1,删除任务,,,,,,
Linux 系统/计划任务,systemctl list-timers,所有定时器,,,,,,
Linux 系统/计划任务,systemctl start timer,启动定时器,,,,,,
Linux 系统/日志管理,tail -f /var/log/messages,CentOS/RHEL,,,,,,
Linux 系统/日志管理,tail -f /var/log/syslog,Debian/Ubuntu,,,,,,
Linux 系统/日志管理,tail -f /var/log/secure,CentOS/RHEL,,,,,,
Linux 系统/日志管理,tail -f /var/log/auth.log,Debian/Ubuntu,,,,,,
Linux 系统/日志管理,dmesg | tail,内核消息,,,,,,
Linux 系统/日志管理,journalctl -k,内核日志,,,,,,
Linux 系统/日志管理,tail -f /var/log/nginx/access.log,Nginx 访问日志,,,,,,
Linux 系统/日志管理,tail -f /var/log/mysql/error.log,MySQL 错误日志,,,,,,
Linux 系统/日志管理,logrotate -f /etc/logrotate.conf,强制轮转,,,,,,
Linux 系统/日志管理,grep error" /var/log/messages",搜索错误,,,,,,
Linux 系统/日志管理,"awk '{print $1,$2,$3}' /var/log/messages",提取字段,,,,,,
Linux 系统/备份和同步,rsync -avz src/ dest/,归档模式同步,,,,,,
Linux 系统/备份和同步,rsync -avz --delete src/ dest/,删除多余文件,,,,,,
Linux 系统/备份和同步,rsync -avz -e ssh src/ user@host:/dest/,远程同步,,,,,,
Linux 系统/备份和同步,scp file user@host:/path,上传文件,,,,,,
Linux 系统/备份和同步,scp user@host:/path/file .,下载文件,,,,,,
Linux 系统/备份和同步,scp -r dir user@host:/path,递归复制,,,,,,
Linux 系统/备份和同步,tar -czf backup.tar.gz /home,备份家目录,,,,,,
Linux 系统/备份和同步,tar -xzf backup.tar.gz -C /restore,恢复备份,,,,,,
Linux 系统/备份和同步,dd if=/dev/sda of=/dev/sdb bs=4M,磁盘克隆,,,,,,
Linux 系统/备份和同步,dd if=/dev/sda of=image.img bs=4M,创建镜像,,,,,,
Linux 系统/安全相关,last,登录历史,,,,,,
Linux 系统/安全相关,lastb,失败登录,,,,,,
Linux 系统/安全相关,who,当前在线,,,,,,
Linux 系统/安全相关,w,用户活动,,,,,,
Linux 系统/安全相关,ausearch -m USER_LOGIN,用户登录,,,,,,
Linux 系统/安全相关,ausearch -m SYSCALL,系统调用,,,,,,
Linux 系统/安全相关,getenforce,SELinux 状态,,,,,,
Linux 系统/安全相关,setenforce 0,临时禁用,,,,,,
Linux 系统/安全相关,sestatus,详细状态,,,,,,
Linux 系统/安全相关,aa-status,AppArmor 状态,,,,,,
Linux 系统/安全相关,aide --check,文件完整性检查,,,,,,
Linux 系统/安全相关,tripwire --check,Tripwire 检查,,,,,,
Linux 系统/安全相关,rkhunter --check,Rootkit 检测,,,,,,
Linux 系统/安全相关,chkrootkit,Rootkit 查询,,,,,,
Linux 系统/安全相关,nmap localhost,本地扫描,,,,,,
Linux 系统/安全相关,nmap -sS target,SYN 扫描,,,,,,
Linux 系统/网络服务,ssh user@host,SSH 连接,,,,,,
Linux 系统/网络服务,ssh -p 2222 user@host,指定端口,,,,,,
Linux 系统/网络服务,ssh -i key.pem user@host,密钥认证,,,,,,
Linux 系统/网络服务,ssh-keygen -t rsa,生成密钥,,,,,,
Linux 系统/网络服务,ssh-copy-id user@host,复制公钥,,,,,,
Linux 系统/网络服务,scp -r dir user@host:/path,递归传输,,,,,,
Linux 系统/网络服务,rsync --daemon,守护进程模式,,,,,,
Linux 系统/网络服务,ftp server,FTP 连接,,,,,,
Linux 系统/网络服务,lftp server,增强 FTP,,,,,,
Linux 系统/网络服务,wget http://example.com/file,下载文件,,,,,,
Linux 系统/网络服务,wget -r http://example.com/dir/,递归下载,,,,,,
Linux 系统/网络服务,wget -c http://example.com/file,断点续传,,,,,,
Linux 系统/网络服务,curl http://example.com,HTTP 请求,,,,,,
Linux 系统/网络服务,curl -O http://example.com/file,下载文件,,,,,,
Linux 系统/网络服务,curl -X POST -d data" http://example.com",POST 请求,,,,,,
Linux 系统/网络服务,dig example.com,DNS 查询,,,,,,
Linux 系统/网络服务,nslookup example.com,DNS 查询,,,,,,
Linux 系统/网络服务,host example.com,DNS 查询,,,,,,
Linux 系统/网络服务,mtr example.com,路由跟踪,,,,,,
Linux 系统/网络服务,nc -l 8080,监听端口,,,,,,
Linux 系统/网络服务,nc -zv host 80,端口扫描,,,,,,
Linux 系统/网络服务,nmcli connection modify eth0 ipv4.addresses 192.168.1.10/24,NetworkManager,,,,,,
Linux 系统/网络服务,nmtui,TUI 界面配置,,,,,,
MySQL /连接和断开,mysql -u root -p,本地 root 用户登录,,,,,,
MySQL /连接和断开,mysql -u root,无密码登录,,,,,,
MySQL /连接和断开,mysql -h 192.168.1.100 -u root -p,远程连接,,,,,,
MySQL /连接和断开,mysql -h db.example.com -P 3306 -u admin -p,指定端口,,,,,,
MySQL /连接和断开,mysql -u root -p database_name,连接时指定数据库,,,,,,
MySQL /连接和断开,mysql -S /var/run/mysqld/mysqld.sock -u root -p,Socket 连接,,,,,,
MySQL /连接和断开,mysql --ssl-ca=ca.pem --ssl-cert=cert.pem --ssl-key=key.pem -u root -p,SSL,,,,,,
MySQL /连接和断开,mysql -u root -p -e SELECT * FROM users" database_name",执行单条 SQL,,,,,,
MySQL /连接和断开,mysql -u root -p < script.sql,执行脚本文件,,,,,,
MySQL /连接和断开,mysql -u root -p -H -e SELECT * FROM users"",HTML 格式,,,,,,
MySQL /连接和断开,mysql -u root -p -X -e SELECT * FROM users"",XML 格式,,,,,,
MySQL /连接和断开,mysql -u root -p -B -e SELECT * FROM users"",批处理模式,,,,,,
MySQL /连接和断开,mysql -u root -p -N -e SELECT * FROM users"",无列名,,,,,,
MySQL /连接和断开,mysql -u root -p -v -e SELECT * FROM users"",详细模式,,,,,,
MySQL /连接和断开,exit,退出 MySQL,,,,,,
MySQL /连接和断开,quit,退出 MySQL,,,,,,
MySQL /连接和断开,\q,快捷退出,,,,,,
MySQL /数据库管理,SHOW DATABASES;,显示所有数据库,,,,,,
MySQL /数据库管理,SHOW CREATE DATABASE db_name;,查看创建语句,,,,,,
MySQL /数据库管理,CREATE DATABASE mydb;,创建数据库,,,,,,
MySQL /数据库管理,CREATE DATABASE IF NOT EXISTS mydb;,条件创建,,,,,,
MySQL /数据库管理,CREATE DATABASE mydb CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci;,指定字符集,,,,,,
MySQL /数据库管理,USE database_name;,选择数据库,,,,,,
MySQL /数据库管理,SELECT DATABASE();,当前数据库,,,,,,
MySQL /数据库管理,ALTER DATABASE mydb CHARACTER SET latin1;,修改字符集,,,,,,
MySQL /数据库管理,ALTER DATABASE mydb READ ONLY = DEFAULT;,读写模式,,,,,,
MySQL /数据库管理,DROP DATABASE IF EXISTS mydb;,删除数据库,,,,,,
MySQL /数据库管理,mysqldump -u root -p mydb > backup.sql,备份单个数据库,,,,,,
MySQL /数据库管理,mysqldump -u root -p --all-databases > all.sql,备份所有,,,,,,
MySQL /数据库管理,mysql -u root -p mydb < backup.sql,恢复数据库,,,,,,
MySQL /数据库管理,source /path/to/backup.sql,在 MySQL 中恢复,,,,,,
MySQL /数据库管理,mysqldump -u root -p mydb | gzip > backup.sql.gz,压缩备份,,,,,,
MySQL /数据库管理,mysqldump -u root -p --single-transaction --master-data=2 mydb > backup.sql,主从备份,,,,,,
MySQL /数据库管理,mysqldump -u root -p mydb table1 table2 > tables.sql,备份指定表,,,,,,
MySQL /表管理,SHOW TABLES;,显示所有表,,,,,,
MySQL /表管理,SHOW TABLES LIKE 'user%';,模糊匹配,,,,,,
MySQL /表管理,SHOW TABLES FROM database_name;,指定数据库,,,,,,
MySQL /表管理,DESCRIBE table_name;,表结构,,,,,,
MySQL /表管理,DESC table_name;,简写,,,,,,
MySQL /表管理,SHOW COLUMNS FROM table_name;,列信息,,,,,,
MySQL /表管理,SHOW CREATE TABLE table_name;,创建表的 SQL,,,,,,
MySQL /表管理,CREATE TABLE users (,创建表,,,,,,
MySQL /表管理,"id INT AUTO_INCREMENT PRIMARY KEY,","执行 id INT AUTO_INCREMENT PRIMARY KEY, 命令",,,,,,
MySQL /表管理,"username VARCHAR(50) NOT NULL,","执行 username VARCHAR(50) NOT NULL, 命令",,,,,,
MySQL /表管理,"email VARCHAR(100),","执行 email VARCHAR(100), 命令",,,,,,
MySQL /表管理,created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,创建或添加资源,,,,,,
MySQL /表管理,) ENGINE=InnoDB DEFAULT CHARSET=utf8mb4;,创建表,,,,,,
MySQL /表管理,CREATE TABLE new_table LIKE old_table;,复制结构,,,,,,
MySQL /表管理,CREATE TABLE new_table SELECT * FROM old_table;,复制结构和数据,,,,,,
MySQL /表管理,ALTER TABLE users ADD COLUMN age INT;,添加列,,,,,,
MySQL /表管理,ALTER TABLE users DROP COLUMN age;,删除列,,,,,,
MySQL /表管理,ALTER TABLE users MODIFY COLUMN username VARCHAR(100);,修改列,,,,,,
MySQL /表管理,ALTER TABLE users CHANGE COLUMN username name VARCHAR(100);,重命名列,,,,,,
MySQL /表管理,ALTER TABLE users ADD INDEX idx_username (username);,普通索引,,,,,,
MySQL /表管理,ALTER TABLE users ADD UNIQUE INDEX idx_email (email);,唯一索引,,,,,,
MySQL /表管理,ALTER TABLE users ADD FULLTEXT INDEX idx_content (content);,全文索引,,,,,,
MySQL /表管理,ALTER TABLE users DROP INDEX idx_username;,删除索引,,,,,,
MySQL /表管理,DROP INDEX idx_username ON users;,另一种方式,,,,,,
MySQL /表管理,RENAME TABLE old_name TO new_name;,重命名表,,,,,,
MySQL /表管理,"RENAME TABLE t1 TO t2, t3 TO t4;",多表重命名,,,,,,
MySQL /表管理,DROP TABLE IF EXISTS users;,删除表,,,,,,
MySQL /表管理,TRUNCATE TABLE users;,清空表,,,,,,
MySQL /表管理,OPTIMIZE TABLE users;,优化表,,,,,,
MySQL /表管理,ANALYZE TABLE users;,分析表,,,,,,
MySQL /表管理,CHECK TABLE users;,检查表,,,,,,
MySQL /表管理,REPAIR TABLE users;,修复表,,,,,,
MySQL /表管理,SHOW TABLE STATUS LIKE 'users';,表状态,,,,,,
MySQL /表管理,SHOW TABLE STATUS FROM database_name;,数据库表状态,,,,,,
MySQL /表管理,ALTER TABLE logs PARTITION BY RANGE (YEAR(created_at)) (,分区表,,,,,,
MySQL /表管理,"PARTITION p0 VALUES LESS THAN (2020),","执行 PARTITION p0 VALUES LESS THAN (2020), 命令",,,,,,
MySQL /表管理,"PARTITION p1 VALUES LESS THAN (2021),","执行 PARTITION p1 VALUES LESS THAN (2021), 命令",,,,,,
MySQL /表管理,PARTITION p2 VALUES LESS THAN MAXVALUE,执行 PARTITION p2 VALUES LESS THAN MAXVALUE 命令,,,,,,
MySQL /表管理,);,分区,,,,,,
MySQL /数据操作,"INSERT INTO users (username, email) VALUES ('john', 'john@example.com');",插入单条,,,,,,
MySQL /数据操作,"INSERT INTO users (username, email) VALUES ('jane', 'jane@example.com'), ('bob', 'bob@example.com');",多条插入,,,,,,
MySQL /数据操作,"INSERT INTO users SET username='alice', email='alice@example.com';",SET 语法,,,,,,
MySQL /数据操作,"REPLACE INTO users (id, username) VALUES (1, 'new_user');",替换记录,,,,,,
MySQL /数据操作,SELECT * FROM users;,查询所有,,,,,,
MySQL /数据操作,"SELECT id, username FROM users;",指定列,,,,,,
MySQL /数据操作,SELECT DISTINCT country FROM users;,去重,,,,,,
MySQL /数据操作,SELECT * FROM users WHERE id = 1;,等于,,,,,,
